blank_intro,noncrisis_care2,sufficient_staff2,staff_retention2,training_ppe2,don_dof2,biomed_handle2,use_ppe2,supply_chain2,adeq_med2,adeq_testing2,hazard_ppe2,ppe_available2,iso_space2,selection_ppe2,allocation_ppe2,tracking_beds2,eval_prepare2,fed_support2,adapt_physical_infra2,adapt_services2,protocol_redeployement2,adaptive_models2,protocols_palliative2,rationing_care2,med_delivery2,codes_protocols2,capacity2,teamwork2,comm_family2,staff_coverage2,sharing_resources2,training_emerg_response2,training_preparedness2,rapid_test_protocol2,leader_communication2,team_communication2,disseminate_policy2,vaccine_programs_workers2,training_redeployed_staff2,space_breaks2
36,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,5,5,5
37,3,3,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,5,5,5,5,5, ,5,5, ,5, ,5,5,5,4,4,5,5,5,5,5,5,5
38,3,4,2,4,4,4,5,4,5,3,4,5,4,4,4,4,4,4,3,4,3,5,5,5,4,4,5,4,4,4,4,3,4,4,5,4,5,5,4,5
39,4,4,5,4,4,4,4,5,4,4,5,5,5,5,4,4,4,4,5,5,4,4,4,3,3,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4
40,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5
41,3,5,4,5,4,5,5,4,5,3,5,5,4,5,4,4,5,5,4,4,3,3,4,4,4,5,4,3,2,4,3,5,5,5,4,4,3,3,3,4
42,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,4,4,5,5,4,5,5,4,5,4,5,4,5,4
43,5,5,4,5,4,5,5,4,5,4,4,5,4,3,4,4,4,5,5,4,4,4,4,4,4,4,5,3,4,5,4,3,3,5,4,4,4,4,2,2
44,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,3,5,4,4,4,5,4,4,5,5,4,5,4,3,5,5,5,4,5,5,4,5,3,5,5,4,5,4,5,5,4,4,4,5,5,5,4,5,5,5
46,5,4,4,4,3,5,3,3,5,4,4,5,5,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,2,3,4,3,3,4,3,3,4,4,4,3
48,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3
